# DLSS-NR (CG2R / HNet, build 310.8.0.0) — network specification
#
# Derived from the weight container; widths cross-checked against PTX
# kernel template parameters. Head dim 32, Swin window 8x8 (64 tokens),
# attention bias = heads * 64 * 64 = 128*C. Grouped-query attention:
# QKV = 1.5C^2 = Q(C^2) + K(C^2/4) + V(C^2/4), i.e. 4:1 query:kv heads.

block    C      subs  elements      kind                         layout
block0   32     1     10,848        fused Swin                   4C^2+64C | 128C | 2C+544
block1   32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block2   32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block3   32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block4   32     1     11,360        fused Swin + transition      4C^2+64C | 128C | C^2 | 2C+32
block5   64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block6   64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block7   64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block8   64     1     34,968        fused Swin + transition      4C^2+64C | 128C | C^2/2 | C^2 | 2C+24
block9   128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block10  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block11  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block12  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block13  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block14  128    1     114,968       fused Swin + transition      4C^2+64C | 128C | C^2/2 | C^2 | 2C+24
block15  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block16  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block17  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block18  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block19  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block20  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block21  256    1     344,616       fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+40
block22  256    1     410,144       fused Swin + transition      4C^2+64C | 128C | C^2/2 | C^2 | 2C+32
block23  512    4     984,096       split-Swin-16H               C^2 | C^2/2+C | 1.5C^2+128C+32 | C^2/2+C
block24  512    4     984,096       split-Swin-16H               C^2 | C^2/2+C | 1.5C^2+128C+32 | C^2/2+C
