153 tensors, 73,841,889 elements, 147,683,778 bytes of data
  block0.layer0.layer                      10,848 elem  @0x00000003f
  block1.layer0.layer                      10,336 elem  @0x00000554a
  block10.layer0.layer                     98,592 elem  @0x00000a656
  block11.layer0.layer                     98,592 elem  @0x00003a8e2
  block12.layer0.layer                     98,592 elem  @0x00006ab6e
  block13.layer0.layer                     98,592 elem  @0x00009adfa
  block14.layer0.layer                    114,968 elem  @0x0000cb086
  block15.layer0.layer                    344,616 elem  @0x000103302
  block16.layer0.layer                    344,616 elem  @0x0001ab79e
  block17.layer0.layer                    344,616 elem  @0x000253c3a
  block18.layer0.layer                    344,616 elem  @0x0002fc0d6
  block19.layer0.layer                    344,616 elem  @0x0003a4572
  block2.layer0.layer                      10,336 elem  @0x00044ca0d
  block20.layer0.layer                    344,616 elem  @0x000451b19
  block21.layer0.layer                    344,616 elem  @0x0004f9fb5
  block22.layer0.layer                    410,144 elem  @0x0005a2451
  block23.layer0.layer                    262,144 elem  @0x00066a8dd
  block23.layer1.layer                    131,584 elem  @0x0006ea929
  block23.layer2.layer                    458,784 elem  @0x00072ad75
  block23.layer3.layer                    131,584 elem  @0x00080ae01
  block24.layer0.layer                    262,144 elem  @0x00084b24d
  block24.layer1.layer                    131,584 elem  @0x0008cb299
  block24.layer2.layer                    458,784 elem  @0x00090b6e5
  block24.layer3.layer                    131,584 elem  @0x0009eb771
  block25.layer0.layer                    262,144 elem  @0x000a2bbbd
  block25.layer1.layer                    131,584 elem  @0x000aabc09
  block25.layer2.layer                    458,784 elem  @0x000aec055
  block25.layer3.layer                    131,584 elem  @0x000bcc0e1
  block26.layer0.layer                    262,144 elem  @0x000c0c52d
  block26.layer1.layer                    131,584 elem  @0x000c8c579
  block26.layer2.layer                    458,784 elem  @0x000ccc9c5
  block26.layer3.layer                    131,584 elem  @0x000daca51
  block27.layer0.layer                    262,144 elem  @0x000dece9d
  block27.layer1.layer                    131,584 elem  @0x000e6cee9
  block27.layer2.layer                    458,784 elem  @0x000ead335
  block27.layer3.layer                    131,584 elem  @0x000f8d3c1
  block28.layer0.layer                    262,144 elem  @0x000fcd80d
  block28.layer1.layer                    131,584 elem  @0x00104d859
  block28.layer2.layer                    458,784 elem  @0x00108dca5
  block28.layer3.layer                    131,584 elem  @0x00116dd31
  block29.layer0.layer                    262,144 elem  @0x0011ae17d
  block29.layer1.layer                    131,584 elem  @0x00122e1c9
  block29.layer2.layer                    458,784 elem  @0x00126e615
  block29.layer3.layer                    131,584 elem  @0x00134e6a1
  block3.layer0.layer                      10,336 elem  @0x00138eaec
  block30.layer0.layer                    262,144 elem  @0x001393bf8
  block30.layer1.layer                    131,584 elem  @0x001413c44
  block30.layer2.layer                    458,784 elem  @0x001454090
  block30.layer3.layer                    131,584 elem  @0x00153411c
  block30.layer4.layer                    262,152 elem  @0x001574568
  block31.layer0.layer                  2,097,160 elem  @0x0015f45c4
  block31.layer1.layer                  2,098,176 elem  @0x0019f4620
  block31.layer2.layer                  1,572,928 elem  @0x001df4e6c
  block31.layer3.layer                          1 elem  @0x0020f4f38
  block31.layer4.layer                    525,312 elem  @0x0020f4f86
  block32.layer0.layer                  2,097,160 elem  @0x0021f57d2
  block32.layer1.layer                  2,098,176 elem  @0x0025f582e
  block32.layer2.layer                  1,572,928 elem  @0x0029f607a
  block32.layer3.layer                          1 elem  @0x002cf6146
  block32.layer4.layer                    525,312 elem  @0x002cf6194
