SymInit: Symbol-SearchPath: '.', symOptions: 530, UserName: 'dna11'
OS-Version: 10.0.22621 () 0x100-0x1
M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.exe:pcsx2-qtx64-avx2-dbg.exe (00007FF6874D0000), size: 387198976 (result: 0), SymType: 'PDB', PDB: 'M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.pdb', fileVersion: 1.7.0.0
C:\Windows\SYSTEM32\ntdll.dll:ntdll.dll (00007FFCDD730000), size: 2179072 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\ntdll.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\KERNEL32.DLL:KERNEL32.DLL (00007FFCDBFB0000), size: 794624 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\KERNEL32.DLL', fileVersion: 10.0.22621.1928
C:\Windows\System32\KERNELBASE.dll:KERNELBASE.dll (00007FFCDAFD0000), size: 3813376 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\KERNELBASE.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\USER32.dll:USER32.dll (00007FFCDD0C0000), size: 1744896 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\USER32.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\win32u.dll:win32u.dll (00007FFCDAE80000), size: 155648 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\win32u.dll', fileVersion: 10.0.22621.1992
C:\Windows\System32\GDI32.dll:GDI32.dll (00007FFCDC130000), size: 167936 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\GDI32.dll', fileVersion: 10.0.22621.1778
C:\Windows\System32\gdi32full.dll:gdi32full.dll (00007FFCDB380000), size: 1150976 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\gdi32full.dll', fileVersion: 10.0.22621.1778
M:\VS\pcsx2-emuinterop\bin\Qt6Cored.dll:Qt6Cored.dll (00007FFBE3FB0000), size: 15458304 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\Qt6Cored.dll', fileVersion: 6.5.0.0
C:\Windows\System32\msvcp_win.dll:msvcp_win.dll (00007FFCDAB30000), size: 630784 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\msvcp_win.dll', fileVersion: 10.0.22621.608
M:\VS\pcsx2-emuinterop\bin\Qt6Guid.dll:Qt6Guid.dll (00007FFBE2A00000), size: 22691840 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\Qt6Guid.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\Qt6Widgetsd.dll:Qt6Widgetsd.dll (00007FFBE1A90000), size: 16158720 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\Qt6Widgetsd.dll', fileVersion: 6.5.0.0
C:\Windows\System32\ucrtbase.dll:ucrtbase.dll (00007FFCDAEB0000), size: 1118208 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\ucrtbase.dll', fileVersion: 10.0.22621.608
C:\Windows\System32\ole32.dll:ole32.dll (00007FFCDBB30000), size: 1687552 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\ole32.dll', fileVersion: 10.0.22621.1702
C:\Windows\System32\combase.dll:combase.dll (00007FFCDC160000), size: 3706880 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\combase.dll', fileVersion: 10.0.22621.1485
C:\Windows\System32\ADVAPI32.dll:ADVAPI32.dll (00007FFCDB510000), size: 712704 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\ADVAPI32.dll', fileVersion: 10.0.22621.1485
C:\Windows\System32\SHELL32.dll:SHELL32.dll (00007FFCDC7C0000), size: 8359936 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\SHELL32.dll', fileVersion: 10.0.22621.1992
C:\Windows\System32\RPCRT4.dll:RPCRT4.dll (00007FFCDBE90000), size: 1142784 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\RPCRT4.dll', fileVersion: 10.0.22621.1992
C:\Windows\System32\msvcrt.dll:msvcrt.dll (00007FFCDCFC0000), size: 684032 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\msvcrt.dll', fileVersion: 7.0.22621.608
C:\Windows\System32\sechost.dll:sechost.dll (00007FFCDC080000), size: 671744 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\sechost.dll', fileVersion: 10.0.22621.1635
C:\Windows\System32\WS2_32.dll:WS2_32.dll (00007FFCDC6B0000), size: 462848 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\WS2_32.dll', fileVersion: 10.0.22621.1
